Total price [Euro],OTV price [Euro],tank price [Euro],prop price [Euro],engine price [Euro],inert price [Euro],fairing price [Euro]
8924702.763382772,640000,1097390.7999999998,214002.60338277198,6444264.96,15500,50000
8924702.763382772,640000,1097390.7999999998,214002.60338277198,6444264.96,15500,50000
